"FL-TMS 2.0 – Future Level Traffic Management System  |  Agile Gantt Chart  |  Jan 1, 2026 – Apr 20, 2026  (110 Days)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task / Phase,Dur.,Start Date,End Date,Sprint,Status,January 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,March 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,April 2026,,,,,,,,,,,,,,,,,,,,Status,Sprint,End Date,Start Date,Dur.,Task / Phase
,,,,,,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,T,W,T,F,S,S,M,,,,,,
,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,
Sprint 0: Project Setup & Planning,7d,01-01-2026,07-01-2026,Sprint 0,complete,Sprint 0: Project Setup & Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,Sprint 0,07-01-2026,01-01-2026,7d,Sprint 0: Project Setup & Planning
  Project Kickoff Meeting,1d,01-01-2026,01-01-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,01-01-2026,01-01-2026,1d,  Project Kickoff Meeting
  Requirements Finalization,2d,02-01-2026,03-01-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,03-01-2026,02-01-2026,2d,  Requirements Finalization
  Development Environment Setup,2d,04-01-2026,05-01-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,05-01-2026,04-01-2026,2d,  Development Environment Setup
  Database Schema Design,2d,06-01-2026,07-01-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,07-01-2026,06-01-2026,2d,  Database Schema Design
Sprint 1: Authentication & User Mgmt,14d,08-01-2026,21-01-2026,Sprint 1,complete,,,,,,,,Sprint 1: Authentication & User Mgmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,Sprint 1,21-01-2026,08-01-2026,14d,Sprint 1: Authentication & User Mgmt
  UI Design for Login Pages,2d,08-01-2026,09-01-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,09-01-2026,08-01-2026,2d,  UI Design for Login Pages
  Admin Login Module,3d,10-01-2026,12-01-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,12-01-2026,10-01-2026,3d,  Admin Login Module
  Officer Login Module,2d,13-01-2026,14-01-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,14-01-2026,13-01-2026,2d,  Officer Login Module
  Citizen Registration & Login,3d,15-01-2026,17-01-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,17-01-2026,15-01-2026,3d,  Citizen Registration & Login
  Role-Based Access Control (RBAC),2d,18-01-2026,19-01-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,19-01-2026,18-01-2026,2d,  Role-Based Access Control (RBAC)
  User Management Module (Admin),2d,20-01-2026,21-01-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,21-01-2026,20-01-2026,2d,  User Management Module (Admin)
Sprint 2: Violation Detection,14d,22-01-2026,04-02-2026,Sprint 2,complete,,,,,,,,,,,,,,,,,,,,,,Sprint 2: Violation Detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,Sprint 2,04-02-2026,22-01-2026,14d,Sprint 2: Violation Detection
  AI Model Integration Setup,3d,22-01-2026,24-01-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,24-01-2026,22-01-2026,3d,  AI Model Integration Setup
  License Plate OCR Implementation,3d,25-01-2026,27-01-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,27-01-2026,25-01-2026,3d,  License Plate OCR Implementation
  Violation Detection Algorithm,4d,28-01-2026,31-01-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,31-01-2026,28-01-2026,4d,  Violation Detection Algorithm
  Manual Violation Recording,2d,01-02-2026,02-02-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,02-02-2026,01-02-2026,2d,  Manual Violation Recording
  Evidence Capture & Storage,2d,03-02-2026,04-02-2026,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,04-02-2026,03-02-2026,2d,  Evidence Capture & Storage
